                    STNAME                                         CTYNAME  BIRTHS2023  POPESTIMATE2023  CRUDE_BIRTHRATE_2023
115               Arkansas                                        Arkansas       35566          3067732             11.593581
116               Arkansas                                 Arkansas County         186            16307             11.406145
117               Arkansas                                   Ashley County         199            18262             10.896944
118               Arkansas                                   Baxter County         349            42875              8.139942
119               Arkansas                                   Benton County        3908           311013             12.565391
120               Arkansas                                    Boone County         406            38530             10.537244
121               Arkansas                                  Bradley County         118            10104             11.678543
122               Arkansas                                  Calhoun County          51             4641             10.989011
123               Arkansas                                  Carroll County         326            28814             11.313945
124               Arkansas                                   Chicot County          88             9538              9.226253
125               Arkansas                                    Clark County         239            21274             11.234371
126               Arkansas                                     Clay County         157            14201             11.055559
127               Arkansas                                 Cleburne County         223            25445              8.764001
128               Arkansas                                Cleveland County          82             7378             11.114123
129               Arkansas                                 Columbia County         256            22150             11.557562
130               Arkansas                                   Conway County         228            21077             10.817479
131               Arkansas                                Craighead County        1540           113993             13.509601
132               Arkansas                                 Crawford County         727            61891             11.746457
133               Arkansas                               Crittenden County         570            47139             12.091898
134               Arkansas                                    Cross County         183            16420             11.144945
135               Arkansas                                   Dallas County          57             6185              9.215845
136               Arkansas                                    Desha County         113            10479             10.783472
137               Arkansas                                     Drew County         193            16945              11.38979
138               Arkansas                                 Faulkner County        1468           129951             11.296566
139               Arkansas                                 Franklin County         188            17468             10.762537
140               Arkansas                                   Fulton County         117            12421              9.419531
141               Arkansas                                  Garland County         970            99784              9.720997
142               Arkansas                                    Grant County         184            18383             10.009248
143               Arkansas                                   Greene County         526            46743             11.253022
144               Arkansas                                Hempstead County         214            19343             11.063434
145               Arkansas                               Hot Spring County         304            33258              9.140658
146               Arkansas                                   Howard County         139            12533              11.09072
147               Arkansas                             Independence County         474            38320              12.36952
148               Arkansas                                    Izard County         113            14169              7.975157
149               Arkansas                                  Jackson County         157            16784              9.354147
150               Arkansas                                Jefferson County         723            63661             11.357032
151               Arkansas                                  Johnson County         296            26129             11.328409
152               Arkansas                                Lafayette County          42             6095              6.890894
153               Arkansas                                 Lawrence County         192            16318             11.766148
154               Arkansas                                      Lee County          82             8201              9.998781
155               Arkansas                                  Lincoln County         100            12898               7.75314
156               Arkansas                             Little River County          95            11805              8.047438
157               Arkansas                                    Logan County         260            21400             12.149533
158               Arkansas                                   Lonoke County         886            75944             11.666491
159               Arkansas                                  Madison County         217            17775             12.208158
160               Arkansas                                   Marion County         137            17514              7.822314
161               Arkansas                                   Miller County         356            42415              8.393257
162               Arkansas                              Mississippi County         526            38663             13.604738
163               Arkansas                                   Monroe County          86             6512             13.206388
164               Arkansas                               Montgomery County          80             8620              9.280742
165               Arkansas                                   Nevada County          75             8120              9.236453
166               Arkansas                                   Newton County          67             7071              9.475322
167               Arkansas                                 Ouachita County         247            21793             11.333915
168               Arkansas                                    Perry County          99            10184              9.721131
169               Arkansas                                 Phillips County         208            14961             13.902814
170               Arkansas                                     Pike County         113            10208             11.069749
171               Arkansas                                 Poinsett County         292            22397              13.03746
172               Arkansas                                     Polk County         202            19436             10.393085
173               Arkansas                                     Pope County         729            64593             11.286053
174               Arkansas                                  Prairie County          79             8036              9.830762
175               Arkansas                                  Pulaski County        5002           400009             12.504719
176               Arkansas                                 Randolph County         246            18907             13.011054
177               Arkansas                              St. Francis County         269            22101             12.171395
178               Arkansas                                   Saline County        1414           129574             10.912683
179               Arkansas                                    Scott County         122             9851             12.384529
180               Arkansas                                   Searcy County          74             7806              9.479887
181               Arkansas                                Sebastian County        1604           129098              12.42467
182               Arkansas                                   Sevier County         180            15632             11.514841
183               Arkansas                                    Sharp County         180            17968             10.017809
184               Arkansas                                    Stone County         126            12671              9.943967
185               Arkansas                                    Union County         462            37397             12.353932
186               Arkansas                                Van Buren County         140            16142              8.673027
187               Arkansas                               Washington County        3279           261549             12.536848
188               Arkansas                                    White County         902            78452             11.497476
189               Arkansas                                 Woodruff County          70             5964             11.737089
190               Arkansas                                     Yell County         254            20044             12.672121
191             California                                      California      414120         38965193             10.627947
192             California                                  Alameda County       16418          1622188             10.120898
193             California                                   Alpine County           7             1141              6.134969
194             California                                   Amador County         331            41811              7.916577
195             California                                    Butte County        1947           207172              9.397988
196             California                                Calaveras County         376            46565              8.074734
197             California                                   Colusa County         283            22037             12.842038
198             California                             Contra Costa County       11573          1155025             10.019697
199             California                                Del Norte County         236            26589              8.875851
200             California                                El Dorado County        1495           192215              7.777749
201             California                                   Fresno County       13879          1017162             13.644827
202             California                                    Glenn County         354            28129             12.584877
203             California                                 Humboldt County        1225           133985              9.142814
204             California                                 Imperial County        2424           179057             13.537589
205             California                                     Inyo County         161            18527               8.69002
206             California                                     Kern County       12077           913820             13.215951
207             California                                    Kings County        2084           152682             13.649284
208             California                                     Lake County         683            67878              10.06217
209             California                                   Lassen County         264            28861              9.147292
210             California                              Los Angeles County       95354          9663345              9.867598
211             California                                   Madera County        2078           162858             12.759582
212             California                                    Marin County        2255           254407               8.86375
213             California                                 Mariposa County         145            16919              8.570246
214             California                                Mendocino County         856            89108               9.60632
215             California                                   Merced County        3787           291920             12.972732
216             California                                    Modoc County          34             8500                   4.0
217             California                                     Mono County         114            13066              8.724935
218             California                                 Monterey County        5548           430723             12.880668
219             California                                     Napa County        1167           133216              8.760209
220             California                                   Nevada County         741           102037              7.262072
221             California                                   Orange County       30677          3135755              9.782971
222             California                                   Placer County        3607           423561              8.515893
223             California                                   Plumas County         145            19131              7.579322
224             California                                Riverside County       27497          2492442             11.032152
225             California                               Sacramento County       17698          1584288             11.170949
226             California                               San Benito County         850            68175             12.467913
227             California                           San Bernardino County       26188          2195611             11.927432
228             California                                San Diego County       37145          3269973             11.359421
229             California                            San Francisco County        7240           808988              8.949453
230             California                              San Joaquin County        9570           800965             11.948088
231             California                          San Luis Obispo County        2389           281639               8.48249
232             California                                San Mateo County        7394           726353             10.179623
233             California                            Santa Barbara County        5560           441257             12.600367
234             California                              Santa Clara County       18707          1877592              9.963293
235             California                               Santa Cruz County        2261           261547              8.644718
236             California                                   Shasta County        1734           180366              9.613785
237             California                                   Sierra County          23             3200                7.1875
238             California                                 Siskiyou County         323            42905               7.52826
239             California                                   Solano County        4792           449218             10.667427
240             California                                   Sonoma County        4480           481812              9.298233
241             California                               Stanislaus County        7077           551430             12.833905
242             California                                   Sutter County        1181            97948             12.057418
243             California                                   Tehama County         745            64896             11.479906
244             California                                  Trinity County         100            15670              6.381621
245             California                                   Tulare County        6746           479468             14.069761
246             California                                 Tuolumne County         437            54204              8.062136
247             California                                  Ventura County        8581           829590             10.343664
248             California                                     Yolo County        1900           220544              8.615061
249             California                                     Yuba County        1177            85722             13.730431
250               Colorado                                        Colorado       62498          5877610             10.633234
251               Colorado                                    Adams County        6534           533365             12.250523
252               Colorado                                  Alamosa County         191            16655             11.468028
253               Colorado                                 Arapahoe County        7639           656061             11.643734
254               Colorado                                Archuleta County         104            14189              7.329622
255               Colorado                                     Baca County          30             3344              8.971292
256               Colorado                                     Bent County          39             5681              6.864989
257               Colorado                                  Boulder County        2486           326831              7.606378
258               Colorado                               Broomfield County         643            76860               8.36586
259               Colorado                                  Chaffee County         150            20617              7.275549
260               Colorado                                 Cheyenne County          14             1727              8.106543
261               Colorado                              Clear Creek County          54             9147              5.903575
262               Colorado                                  Conejos County          99             7521             13.163143
263               Colorado                                 Costilla County          33             3628              9.095921
264               Colorado                                  Crowley County          29             5636              5.145493
265               Colorado                                   Custer County          41             5534              7.408746
266               Colorado                                    Delta County         273            31746              8.599509
267               Colorado                                   Denver County        8632           716577             12.046158
268               Colorado                                  Dolores County          19             2513              7.560684
269               Colorado                                  Douglas County        3812           383906              9.929514
270               Colorado                                    Eagle County         515            54381              9.470219
271               Colorado                                   Elbert County         263            28806              9.130042
272               Colorado                                  El Paso County        9147           744215             12.290803
273               Colorado                                  Fremont County         351            50318              6.975635
274               Colorado                                 Garfield County         714            62707             11.386289
275               Colorado                                   Gilpin County          48             5926              8.099899
276               Colorado                                    Grand County         121            15935              7.593348
277               Colorado                                 Gunnison County         134            17321              7.736274
278               Colorado                                 Hinsdale County           4              765              5.228758
279               Colorado                                 Huerfano County          40             7055              5.669738
280               Colorado                                  Jackson County           6             1309              4.583652
281               Colorado                                Jefferson County        5493           576366              9.530403
282               Colorado                                    Kiowa County          20             1384             14.450867
283               Colorado                               Kit Carson County          93             6994             13.297112
284               Colorado                                     Lake County          85             7365             11.541073
285               Colorado                                 La Plata County         414            56407              7.339515
286               Colorado                                  Larimer County        3094           370771              8.344773
287               Colorado                               Las Animas County         111            14348               7.73627
288               Colorado                                  Lincoln County          52             5480              9.489051
289               Colorado                                    Logan County         192            20619                9.3118
290               Colorado                                     Mesa County        1454           159681              9.105654
291               Colorado                                  Mineral County           7              944              7.415254
292               Colorado                                   Moffat County         135            13327             10.129812
293               Colorado                                Montezuma County         240            26531              9.046022
294               Colorado                                 Montrose County         395            44156              8.945557
295               Colorado                                   Morgan County         407            29524             13.785395
296               Colorado                                    Otero County         203            18136             11.193207
297               Colorado                                    Ouray County          32             5176               6.18238
298               Colorado                                     Park County         138            18117              7.617155
299               Colorado                                 Phillips County          51             4476             11.394102
300               Colorado                                   Pitkin County         130            16640                7.8125
301               Colorado                                  Prowers County         142            11751             12.084078
302               Colorado                                   Pueblo County        1646           169422              9.715385
303               Colorado                               Rio Blanco County          58             6569               8.82935
304               Colorado                               Rio Grande County         121            11188             10.815159
305               Colorado                                    Routt County         206            25064              8.218959
306               Colorado                                 Saguache County          61             6688              9.120813
307               Colorado                                 San Juan County           6              802              7.481297
308               Colorado                               San Miguel County          48             7868              6.100661
309               Colorado                                 Sedgwick County          14             2299              6.089604
310               Colorado                                   Summit County         262            30465              8.600033
311               Colorado                                   Teller County         179            24617              7.271398
312               Colorado                               Washington County          52             4855             10.710608
