                    STNAME                                         CTYNAME  BIRTHS2023  POPESTIMATE2023  CRUDE_BIRTHRATE_2023
920                 Kansas                                     Clay County          81             8007             10.116148
921                 Kansas                                    Cloud County         110             8854             12.423763
922                 Kansas                                   Coffey County          71             8251              8.605018
923                 Kansas                                 Comanche County          17             1655             10.271903
924                 Kansas                                   Cowley County         414            34157             12.120502
925                 Kansas                                 Crawford County         449            38764             11.582912
926                 Kansas                                  Decatur County          27             2712              9.955752
927                 Kansas                                Dickinson County         190            18445             10.300895
928                 Kansas                                 Doniphan County          74             7493              9.875884
929                 Kansas                                  Douglas County        1069           120553              8.867469
930                 Kansas                                  Edwards County          29             2733              10.61105
931                 Kansas                                      Elk County          19             2467              7.701662
932                 Kansas                                    Ellis County         269            28810              9.337036
933                 Kansas                                Ellsworth County          56             6357              8.809187
934                 Kansas                                   Finney County         560            37466             14.946885
935                 Kansas                                     Ford County         602            33980             17.716304
936                 Kansas                                 Franklin County         283            26125             10.832536
937                 Kansas                                    Geary County         946            35047             26.992325
938                 Kansas                                     Gove County          34             2735             12.431444
939                 Kansas                                   Graham County          28             2376             11.784512
940                 Kansas                                    Grant County         116             7147             16.230586
941                 Kansas                                     Gray County          84             5743             14.626502
942                 Kansas                                  Greeley County          17             1181             14.394581
943                 Kansas                                Greenwood County          52             5870              8.858603
944                 Kansas                                 Hamilton County          45             2437             18.465326
945                 Kansas                                   Harper County          80             5435             14.719411
946                 Kansas                                   Harvey County         348            33504             10.386819
947                 Kansas                                  Haskell County          59             3630             16.253444
948                 Kansas                                 Hodgeman County          11             1655              6.646526
949                 Kansas                                  Jackson County         184            13368             13.764213
950                 Kansas                                Jefferson County         167            18327              9.112239
951                 Kansas                                   Jewell County          29             2847             10.186161
952                 Kansas                                  Johnson County        6982           622237             11.220805
953                 Kansas                                   Kearny County          74             3823             19.356526
954                 Kansas                                  Kingman County          77             7066             10.897254
955                 Kansas                                    Kiowa County          29             2374              12.21567
956                 Kansas                                  Labette County         207            19728             10.492701
957                 Kansas                                     Lane County          18             1529               11.7724
958                 Kansas                              Leavenworth County         896            83518             10.728226
959                 Kansas                                  Lincoln County          29             2920              9.931507
960                 Kansas                                     Linn County          89             9860              9.026369
961                 Kansas                                    Logan County          35             2665             13.133208
962                 Kansas                                     Lyon County         370            32172             11.500684
963                 Kansas                                McPherson County         329            30091             10.933502
964                 Kansas                                   Marion County         115            11690              9.837468
965                 Kansas                                 Marshall County          97             9933              9.765428
966                 Kansas                                    Meade County          49             3911             12.528765
967                 Kansas                                    Miami County         365            35320             10.334088
968                 Kansas                                 Mitchell County          69             5719             12.065046
969                 Kansas                               Montgomery County         304            30568              9.945041
970                 Kansas                                   Morris County          53             5334              9.936258
971                 Kansas                                   Morton County          31             2580             12.015504
972                 Kansas                                   Nemaha County         130            10114              12.85347
973                 Kansas                                   Neosho County         188            15420             12.191958
974                 Kansas                                     Ness County          33             2618             12.605042
975                 Kansas                                   Norton County          48             5330              9.005629
976                 Kansas                                    Osage County         163            15824             10.300809
977                 Kansas                                  Osborne County          36             3427             10.504815
978                 Kansas                                   Ottawa County          66             5818             11.344105
979                 Kansas                                   Pawnee County          63             6126             10.284035
980                 Kansas                                 Phillips County          54             4761             11.342155
981                 Kansas                             Pottawatomie County         375            26382             14.214237
982                 Kansas                                    Pratt County         115             9082             12.662409
983                 Kansas                                  Rawlins County          20             2463              8.120179
984                 Kansas                                     Reno County         662            61497             10.764753
985                 Kansas                                 Republic County          56             4627             12.102874
986                 Kansas                                     Rice County         105             9260             11.339093
987                 Kansas                                    Riley County         744            71402             10.419876
988                 Kansas                                    Rooks County          56             4778             11.720385
989                 Kansas                                     Rush County          28             2830              9.893993
990                 Kansas                                  Russell County          67             6723              9.965789
991                 Kansas                                   Saline County         606            53098             11.412859
992                 Kansas                                    Scott County          72             4922               14.6282
993                 Kansas                                 Sedgwick County        6615           528469             12.517291
994                 Kansas                                   Seward County         393            21067             18.654768
995                 Kansas                                  Shawnee County        1990           177746             11.195751
996                 Kansas                                 Sheridan County          28             2423             11.555922
997                 Kansas                                  Sherman County          81             5844              13.86037
998                 Kansas                                    Smith County          42             3590             11.699164
999                 Kansas                                 Stafford County          44             3909             11.256076
1000                Kansas                                  Stanton County          15             1901              7.890584
1001                Kansas                                  Stevens County          65             5077             12.802836
1002                Kansas                                   Sumner County         220            22334              9.850452
1003                Kansas                                   Thomas County         120             7865              15.25747
1004                Kansas                                    Trego County          28             2731             10.252655
1005                Kansas                                Wabaunsee County          88             7057             12.469888
1006                Kansas                                  Wallace County          28             1509             18.555335
1007                Kansas                               Washington County          67             5504             12.172965
1008                Kansas                                  Wichita County          40             2082             19.212296
1009                Kansas                                   Wilson County          76             8382              9.067048
1010                Kansas                                  Woodson County          25             3115              8.025682
1011                Kansas                                Wyandotte County        2287           165281             13.837041
1012              Kentucky                                        Kentucky       52380          4526154             11.572739
1013              Kentucky                                    Adair County         197            19264             10.226329
1014              Kentucky                                    Allen County         268            21788             12.300349
1015              Kentucky                                 Anderson County         249            24613             10.116605
1016              Kentucky                                  Ballard County          59             7582              7.781588
1017              Kentucky                                   Barren County         548            45008             12.175613
1018              Kentucky                                     Bath County         175            12975             13.487476
1019              Kentucky                                     Bell County         289            23317              12.39439
1020              Kentucky                                    Boone County        1723           140496             12.263694
1021              Kentucky                                  Bourbon County         208            20134             10.330784
1022              Kentucky                                     Boyd County         477            47826              9.973654
1023              Kentucky                                    Boyle County         311            30988             10.036143
1024              Kentucky                                  Bracken County          94             8426             11.155946
1025              Kentucky                                Breathitt County         143            12953             11.039914
1026              Kentucky                             Breckinridge County         254            21124             12.024238
1027              Kentucky                                  Bullitt County         771            84863              9.085231
1028              Kentucky                                   Butler County         151            12375              12.20202
1029              Kentucky                                 Caldwell County         167            12551             13.305713
1030              Kentucky                                 Calloway County         356            38280              9.299896
1031              Kentucky                                 Campbell County         967            93702              10.31995
1032              Kentucky                                 Carlisle County          59             4704             12.542517
1033              Kentucky                                  Carroll County         162            10987             14.744698
1034              Kentucky                                   Carter County         272            26366             10.316316
1035              Kentucky                                    Casey County         180            15918             11.307953
1036              Kentucky                                Christian County        1295            72032             17.978121
1037              Kentucky                                    Clark County         410            37304             10.990778
1038              Kentucky                                     Clay County         232            19648             11.807818
1039              Kentucky                                  Clinton County         107             9148             11.696546
1040              Kentucky                               Crittenden County         102             8974             11.366169
1041              Kentucky                               Cumberland County          74             6000             12.333333
1042              Kentucky                                  Daviess County        1308           103458             12.642812
1043              Kentucky                                 Edmonson County         108            12448              8.676093
1044              Kentucky                                  Elliott County          52             7245              7.177364
1045              Kentucky                                   Estill County         126            13936              9.041332
1046              Kentucky                                  Fayette County        3696           320154             11.544444
1047              Kentucky                                  Fleming County         205            15442             13.275482
1048              Kentucky                                    Floyd County         367            34423             10.661476
1049              Kentucky                                 Franklin County         512            51644              9.914027
1050              Kentucky                                   Fulton County          73             6338             11.517829
1051              Kentucky                                 Gallatin County         112             8792             12.738854
1052              Kentucky                                  Garrard County         175            17829              9.815469
1053              Kentucky                                    Grant County         361            25619             14.091104
1054              Kentucky                                   Graves County         465            36461             12.753353
1055              Kentucky                                  Grayson County         376            26825             14.016775
1056              Kentucky                                    Green County         117            11468             10.202302
1057              Kentucky                                  Greenup County         301            35221              8.546038
1058              Kentucky                                  Hancock County          95             8920             10.650224
1059              Kentucky                                   Hardin County        1369           112273             12.193493
1060              Kentucky                                   Harlan County         282            25324             11.135682
1061              Kentucky                                 Harrison County         255            19415             13.134175
1062              Kentucky                                     Hart County         257            19724             13.029811
1063              Kentucky                                Henderson County         514            44119             11.650309
1064              Kentucky                                    Henry County         198            15973             12.395918
1065              Kentucky                                  Hickman County          41             4447              9.219699
1066              Kentucky                                  Hopkins County         524            44929             11.662846
1067              Kentucky                                  Jackson County         161            13104             12.286325
1068              Kentucky                                Jefferson County        9534           772144             12.347438
1069              Kentucky                                Jessamine County         618            55017             11.232892
1070              Kentucky                                  Johnson County         231            22116             10.444927
1071              Kentucky                                   Kenton County        2158           171321             12.596237
1072              Kentucky                                    Knott County         108            13659              7.906875
1073              Kentucky                                     Knox County         377            29794             12.653554
1074              Kentucky                                    Larue County         158            15303             10.324773
1075              Kentucky                                   Laurel County         705            63296             11.138145
1076              Kentucky                                 Lawrence County         142            16000                 8.875
1077              Kentucky                                      Lee County          65             7293              8.912656
1078              Kentucky                                   Leslie County          95             9864              9.630981
1079              Kentucky                                  Letcher County         179            20423              8.764628
1080              Kentucky                                    Lewis County         161            12973             12.410391
1081              Kentucky                                  Lincoln County         312            24776             12.592832
1082              Kentucky                               Livingston County          94             8892               10.5713
1083              Kentucky                                    Logan County         368            28283              13.01135
1084              Kentucky                                     Lyon County          53             9187              5.769021
1085              Kentucky                                McCracken County         696            67428             10.322121
1086              Kentucky                                 McCreary County         180            17050             10.557185
1087              Kentucky                                   McLean County          94             9054             10.382152
1088              Kentucky                                  Madison County        1058            96735             10.937096
1089              Kentucky                                 Magoffin County         130            11228             11.578197
1090              Kentucky                                   Marion County         212            19834             10.688716
1091              Kentucky                                 Marshall County         304            31744              9.576613
1092              Kentucky                                   Martin County         100            10928              9.150805
1093              Kentucky                                    Mason County         186            16841             11.044475
1094              Kentucky                                    Meade County         267            30131              8.861306
1095              Kentucky                                  Menifee County          72             6286             11.454025
1096              Kentucky                                   Mercer County         254            23097             10.997099
1097              Kentucky                                 Metcalfe County         119            10482             11.352795
1098              Kentucky                                   Monroe County         147            11306             13.001946
1099              Kentucky                               Montgomery County         326            28527              11.42777
1100              Kentucky                                   Morgan County         130            14283              9.101729
1101              Kentucky                               Muhlenberg County         339            30568             11.090029
1102              Kentucky                                   Nelson County         553            47730             11.586005
1103              Kentucky                                 Nicholas County          99             7686             12.880562
1104              Kentucky                                     Ohio County         256            23626              10.83552
1105              Kentucky                                   Oldham County         546            70183              7.779662
1106              Kentucky                                     Owen County         109            11313              9.634933
1107              Kentucky                                   Owsley County          55             4001             13.746563
1108              Kentucky                                Pendleton County         166            14810             11.208643
1109              Kentucky                                    Perry County         312            27133             11.498913
1110              Kentucky                                     Pike County         536            55973              9.576046
1111              Kentucky                                   Powell County         166            12972             12.796793
1112              Kentucky                                  Pulaski County         691            66191             10.439486
1113              Kentucky                                Robertson County          20             2313              8.646779
1114              Kentucky                               Rockcastle County         162            16190             10.006177
1115              Kentucky                                    Rowan County         272            24409             11.143431
1116              Kentucky                                  Russell County         211            18279             11.543301
1117              Kentucky                                    Scott County         699            60168             11.617471
1118              Kentucky                                   Shelby County         568            49515             11.471271
1119              Kentucky                                  Simpson County         211            20195             10.448131
1120              Kentucky                                  Spencer County         201            20531              9.790074
1121              Kentucky                                   Taylor County         324            26443              12.25277
1122              Kentucky                                     Todd County         175            12494             14.006723
1123              Kentucky                                    Trigg County         158            14369             10.995894
1124              Kentucky                                  Trimble County          87             8607             10.108052
1125              Kentucky                                    Union County         164            13106             12.513353
1126              Kentucky                                   Warren County        1898           142229             13.344677
1127              Kentucky                               Washington County         133            12267             10.842097
1128              Kentucky                                    Wayne County         209            19580             10.674157
1129              Kentucky                                  Webster County         172            12726             13.515637
1130              Kentucky                                  Whitley County         544            36825             14.772573
1131              Kentucky                                    Wolfe County          88             6282             14.008278
1132              Kentucky                                 Woodford County         273            27268             10.011735
1133             Louisiana                                       Louisiana       56209          4573749             12.289481
1134             Louisiana                                   Acadia Parish         834            56489             14.763936
1135             Louisiana                                    Allen Parish         237            22112             10.718162
1136             Louisiana                                Ascension Parish        1631           131632             12.390604
1137             Louisiana                               Assumption Parish         210            20160             10.416667
1138             Louisiana                                Avoyelles Parish         442            38408             11.508019
1139             Louisiana                               Beauregard Parish         508            36827             13.794227
1140             Louisiana                                Bienville Parish         165            12366             13.343037
1141             Louisiana                                  Bossier Parish        1573           129795             12.119111
1142             Louisiana                                    Caddo Parish        2748           226386              12.13856
1143             Louisiana                                Calcasieu Parish        2499           203761             12.264369
1144             Louisiana                                 Caldwell Parish          85             9389              9.053147
1145             Louisiana                                  Cameron Parish          60             4768             12.583893
1146             Louisiana                                Catahoula Parish          77             8414              9.151414
1147             Louisiana                                Claiborne Parish         142            13670              10.38771
1148             Louisiana                                Concordia Parish         105            17688              5.936228
1149             Louisiana                                  De Soto Parish         335            27114             12.355241
1150             Louisiana                         East Baton Rouge Parish        5455           448467              12.16366
1151             Louisiana                             East Carroll Parish          63             6829              9.225362
1152             Louisiana                           East Feliciana Parish         175            19229              9.100837
1153             Louisiana                               Evangeline Parish         453            31754             14.265919
1154             Louisiana                                 Franklin Parish         235            19285             12.185637
1155             Louisiana                                    Grant Parish         261            21911             11.911825
1156             Louisiana                                   Iberia Parish         873            67659              12.90294
1157             Louisiana                                Iberville Parish         345            29617             11.648715
1158             Louisiana                                  Jackson Parish         120            14746                8.1378
1159             Louisiana                                Jefferson Parish        5202           421777             12.333532
1160             Louisiana                          Jefferson Davis Parish         435            31553             13.786328
1161             Louisiana                                Lafayette Parish        3388           249750             13.565566
1162             Louisiana                                Lafourche Parish        1115            95056             11.729928
1163             Louisiana                                  LaSalle Parish         169            14800             11.418919
1164             Louisiana                                  Lincoln Parish         465            47962              9.695175
1165             Louisiana                               Livingston Parish        1842           150145             12.268141
1166             Louisiana                                  Madison Parish         131             9246             14.168289
1167             Louisiana                                Morehouse Parish         269            23955             11.229388
1168             Louisiana                             Natchitoches Parish         425            36291             11.710893
1169             Louisiana                                  Orleans Parish        4111           364136             11.289738
1170             Louisiana                                 Ouachita Parish        2016           157568             12.794476
1171             Louisiana                              Plaquemines Parish         291            22386             12.999196
1172             Louisiana                            Pointe Coupee Parish         249            20000                 12.45
1173             Louisiana                                  Rapides Parish        1631           126260             12.917789
1174             Louisiana                                Red River Parish          95             7356             12.914628
1175             Louisiana                                 Richland Parish         260            19712             13.189935
1176             Louisiana                                   Sabine Parish         264            21906             12.051493
1177             Louisiana                              St. Bernard Parish         575            44463             12.932101
1178             Louisiana                              St. Charles Parish         576            50620             11.378902
1179             Louisiana                               St. Helena Parish          96            10774               8.91034
1180             Louisiana                                St. James Parish         213            19191             11.098953
1181             Louisiana                     St. John the Baptist Parish         471            39592             11.896343
1182             Louisiana                               St. Landry Parish        1188            81464             14.583129
1183             Louisiana                               St. Martin Parish         630            51057              12.33915
1184             Louisiana                                 St. Mary Parish         616            47055             13.091064
1185             Louisiana                              St. Tammany Parish        3081           275583             11.179935
1186             Louisiana                               Tangipahoa Parish        1970           138064             14.268745
1187             Louisiana                                   Tensas Parish          18             3764              4.782147
1188             Louisiana                               Terrebonne Parish        1367           103616             13.192943
1189             Louisiana                                    Union Parish         195            20650              9.443099
1190             Louisiana                                Vermilion Parish         749            56992             13.142195
1191             Louisiana                                   Vernon Parish         814            46250                  17.6
1192             Louisiana                               Washington Parish         566            44865             12.615625
1193             Louisiana                                  Webster Parish         393            35238             11.152733
1194             Louisiana                         West Baton Rouge Parish         337            28266             11.922451
1195             Louisiana                             West Carroll Parish         110             9323             11.798777
1196             Louisiana                           West Feliciana Parish         120            15371              7.806909
1197             Louisiana                                     Winn Parish         135            13216             10.214891
1198                 Maine                                           Maine       11945          1395722              8.558295
1199                 Maine                             Androscoggin County        1136           113765              9.985496
1200                 Maine                                Aroostook County         640            67351              9.502457
1201                 Maine                               Cumberland County        2922           310230              9.418818
1202                 Maine                                 Franklin County         226            30828              7.330998
1203                 Maine                                  Hancock County         372            56526              6.581042
1204                 Maine                                 Kennebec County        1110           127259              8.722369
1205                 Maine                                     Knox County         280            40977              6.833101
1206                 Maine                                  Lincoln County         258            36507              7.067138
1207                 Maine                                   Oxford County         441            59905              7.361656
1208                 Maine                                Penobscot County        1298           155312              8.357371
1209                 Maine                              Piscataquis County         130            17486              7.434519
1210                 Maine                                Sagadahoc County         315            37513              8.397089
1211                 Maine                                 Somerset County         472            51302              9.200421
1212                 Maine                                    Waldo County         359            40620              8.838011
1213                 Maine                               Washington County         287            31555              9.095231
1214                 Maine                                     York County        1699           218586              7.772684
1215              Maryland                                        Maryland       67969          6180253              10.99777
1216              Maryland                                 Allegany County         553            67273              8.220237
1217              Maryland                             Anne Arundel County        6971           594582             11.724203
1218              Maryland                                Baltimore County        9375           844703             11.098575
1219              Maryland                                  Calvert County         957            94728              10.10261
1220              Maryland                                 Caroline County         423            33593             12.591909
1221              Maryland                                  Carroll County        1795           176639             10.161969
1222              Maryland                                    Cecil County        1124           105672             10.636687
1223              Maryland                                  Charles County        1724           171973             10.024829
1224              Maryland                               Dorchester County         336            32879             10.219289
1225              Maryland                                Frederick County        3172           293391             10.811511
1226              Maryland                                  Garrett County         215            28423              7.564297
1227              Maryland                                  Harford County        2624           264644              9.915207
1228              Maryland                                   Howard County        3236           336001              9.630924
1229              Maryland                                     Kent County         145            19303              7.511786
1230              Maryland                               Montgomery County       11709          1058474             11.062152
1231              Maryland                          Prince George's County       10619           947430             11.208216
1232              Maryland                             Queen Anne's County         533            52508             10.150834
1233              Maryland                               St. Mary's County        1405           115281             12.187611
1234              Maryland                                 Somerset County         218            24910              8.751505
1235              Maryland                                   Talbot County         304            37823              8.037438
1236              Maryland                               Washington County        1554           155813              9.973494
1237              Maryland                                 Wicomico County        1276           104800             12.175573
1238              Maryland                                Worcester County         459            54171              8.473168
1239              Maryland                                  Baltimore city        7242           565239             12.812279
1240         Massachusetts                                   Massachusetts       68387          7001399              9.767619
1241         Massachusetts                               Barnstable County        1504           231735              6.490172
1242         Massachusetts                                Berkshire County         888           126818              7.002161
1243         Massachusetts                                  Bristol County        5475           581841              9.409787
1244         Massachusetts                                    Dukes County         177            20819              8.501849
1245         Massachusetts                                    Essex County        8482           810089             10.470454
1246         Massachusetts                                 Franklin County         495            70836              6.987972
1247         Massachusetts                                  Hampden County        4808           460291             10.445566
1248         Massachusetts                                Hampshire County         937           162502              5.766083
1249         Massachusetts                                Middlesex County       16102          1623952              9.915318
1250         Massachusetts                                Nantucket County         159            14444             11.008031
1251         Massachusetts                                  Norfolk County        7196           727473              9.891776
1252         Massachusetts                                 Plymouth County        5395           535308              10.07831
1253         Massachusetts                                  Suffolk County        8210           768425             10.684192
1254         Massachusetts                                Worcester County        8559           866866              9.873498
1255              Michigan                                        Michigan      101911         10037261             10.153268
1256              Michigan                                   Alcona County          63            10489              6.006292
1257              Michigan                                    Alger County          67             8757              7.651022
1258              Michigan                                  Allegan County        1227           121939             10.062408
1259              Michigan                                   Alpena County         269            28904               9.30667
1260              Michigan                                   Antrim County         187            24409              7.661109
1261              Michigan                                   Arenac County         132            15145              8.715748
1262              Michigan                                   Baraga County          69             8310              8.303249
1263              Michigan                                    Barry County         604            63808              9.465898
1264              Michigan                                      Bay County         865           102500              8.439024
1265              Michigan                                   Benzie County         138            18441              7.483325
1266              Michigan                                  Berrien County        1584           152261             10.403189
1267              Michigan                                   Branch County         530            45215             11.721774
1268              Michigan                                  Calhoun County        1517           133366             11.374713
1269              Michigan                                     Cass County         446            51642              8.636381
1270              Michigan                               Charlevoix County         201            26159               7.68378
1271              Michigan                                Cheboygan County         192            26048              7.371007
1272              Michigan                                 Chippewa County         291            36264              8.024487
1273              Michigan                                    Clare County         305            31316               9.73943
1274              Michigan                                  Clinton County         675            79720              8.467135
1275              Michigan                                 Crawford County         107            13538              7.903679
1276              Michigan                                    Delta County         314            36790              8.534928
1277              Michigan                                Dickinson County         212            25982              8.159495
